Verse,Sentence number,Segment ,Sentiment class,Fun score,Translation ,Relevant lexicon - Sentiment,Relevant lexicon - Fun,Comments
149-152,11,"δεξιώτατα. κηρὸν διατήξας, εἶτα τὴν ψύλλαν λαβὼν ἐνέβαψεν ἐς τὸν κηρὸν αὐτῆς τὼ πόδε, κᾆτα ψυχείσῃ περιέφυσαν Περσικαί. ταύτας ὑπολύσας ἀνεμέτρει τὸ χωρίον.",Neutral,1,"Most cleverly. He melted some wax; and then took the flea and dipped its feet in the wax; and then a pair of Persian slippers stuck to it when cooled. Having gently loosened these, he measured back the distance.",,,
156-158,12,"ἀνήρετʼ αὐτὸν Χαιρεφῶν ὁ Σφήττιος ὁπότερα τὴν γνώμην ἔχοι, τὰς ἐμπίδας κατὰ τὸ στόμʼ ᾄδειν ἢ κατὰ τοὐρροπύγιον.",Neutral,1,Chaerephon the Sphettian asked him whether he thought gnats buzzed through the mouth or the breech.,,,
160-164,13,ἔφασκεν εἶναι τοὔντερον τῆς ἐμπίδος στενόν· διὰ λεπτοῦ δʼ ὄντος αὐτοῦ τὴν πνοὴν βίᾳ βαδίζειν εὐθὺ τοὐρροπυγίου· ἔπειτα κοῖλον πρὸς στενῷ προσκείμενον τὸν πρωκτὸν ἠχεῖν ὑπὸ βίας τοῦ πνεύματος.,Neutral,0,"He said the intestine of the gnat was narrow and that the wind went forcibly through it, being slender, straight to the breech; and then that the rump, being hollow where it is adjacent to the narrow part, resounded through the violence of the wind.",,,
165-168,14,σάλπιγξ ὁ πρωκτός ἐστιν ἄρα τῶν ἐμπίδων. ὦ τρισμακάριος τοῦ διεντερεύματος. ἦ ῥᾳδίως φεύγων ἂν ἀποφύγοι δίκην ὅστις δίοιδε τοὔντερον τῆς ἐμπίδος.,Positive,1,"The rump of the gnats then is a trumpet! Oh, thrice happy he for his sharp-sightedness! Surely a defendant might easily get acquitted who understands the intestine of the gnat.",τρίσμακαρ,,
171-173,15,ζητοῦντος αὐτοῦ τῆς σελήνης τὰς ὁδοὺς καὶ τὰς περιφορὰς εἶτʼ ἄνω κεχηνότος ἀπὸ τῆς ὀροφῆς νύκτωρ γαλεώτης κατέχεσεν.,Neutral,1,"As he was investigating the courses of the moon and her revolutions, then as he was gaping upward a lizard in the darkness dropped upon him from the roof.",,,
177-179,16,κατὰ τῆς τραπέζης καταπάσας λεπτὴν τέφραν κάμψας ὀβελίσκον εἶτα διαβήτην λαβὼν ἐκ τῆς παλαίστρας θοἰμάτιον ὑφείλετο.,Neutral,1,"He sprinkled fine ashes on the table, and bent a little spit, and then took it as a pair of compasses and filched a cloak from the Palaestra.",,διαβήτης,
180-183,17,"τί δῆτʼ ἐκεῖνον τὸν Θαλῆν θαυμάζομεν; ἄνοιγʼ ἄνοιγʼ ἀνύσας τὸ φροντιστήριον, καὶ δεῖξον ὡς τάχιστά μοι τὸν Σωκράτη. μαθητιῶ γάρ· ἀλλʼ ἄνοιγε τὴν θύραν.",Positive,1,"Why then do we admire Thales? Open open quickly the thinking-shop, and show to me Socrates as quickly as possible. For I desire to be a disciple. Come, open the door.",,,
184,18,ὦ Ἡράκλεις ταυτὶ ποδαπὰ τὰ θηρία;,Negative,1,"O Hercules, from what country are these wild beasts?",θηρίον,,
189-191,19,βολβοὺς ἄρα ζητοῦσι. μή νυν τουτογὶ φροντίζετε· ἐγὼ γὰρ οἶδʼ ἵνʼ εἰσὶ μεγάλοι καὶ καλοί. τί γὰρ οἵδε δρῶσιν οἱ σφόδρʼ ἐγκεκυφότες;,Neutral,1,"Then they are searching for roots. Do not, then, trouble yourselves about this; for I know where there are large and fine ones. Why, what are these doing, who are bent down so much?",,,
235-237,20,"τί φῄς; ἡ φροντὶς ἕλκει τὴν ἰκμάδʼ ἐς τὰ κάρδαμα; ἴθι νυν κατάβηθʼ ὦ Σωκρατίδιον ὡς ἐμέ, ἵνα με διδάξῃς ὧνπερ οὕνεκʼ ἐλήλυθα.",Neutral,0,"What do you say? Does meditation attract the moisture to the water-cresses? Come then, my little Socrates, descend to me, that you may teach me those things, for the sake of which I have come.",,,
243-246,21,"νόσος μʼ ἐπέτριψεν ἱππικὴ δεινὴ φαγεῖν. ἀλλά με δίδαξον τὸν ἕτερον τοῖν σοῖν λόγοιν, τὸν μηδὲν ἀποδιδόντα. μισθὸν δʼ ὅντινʼ ἂν πράττῃ μʼ ὀμοῦμαί σοι καταθήσειν τοὺς θεούς.",Negative,1,"A horse-disease consumed me--terrible at eating. But teach me the other one of your two causes, that which pays nothing; and I will swear by the gods, I will pay down to you whatever reward you exact of me.","νόσος, δεινός",,
263-266,22,"εὐφημεῖν χρὴ τὸν πρεσβύτην καὶ τῆς εὐχῆς ἐπακούειν. ὦ δέσποτʼ ἄναξ ἀμέτρητʼ Ἀήρ, ὃς ἔχεις τὴν γῆν μετέωρον, λαμπρός τʼ Αἰθὴρ σεμναί τε θεαὶ Νεφέλαι βροντησικέραυνοι, ἄρθητε φάνητʼ ὦ δέσποιναι τῷ φροντιστῇ μετέωροι.",Positive,1,"It becomes the old man to speak words of good omen, and to hearken to my prayer. O sovereign King, immeasurable Air, who keepest the earth suspended, and through bright Aether, and ye august goddesses, the Clouds, sending thunder and lightning, arise, appear in the air, O mistresses, to your deep thinker!",σεμνός,,
267-268,23,"μήπω μήπω γε πρὶν ἂν τουτὶ πτύξωμαι, μὴ καταβρεχθῶ. τὸ δὲ μηδὲ κυνῆν οἴκοθεν ἐλθεῖν ἐμὲ τὸν κακοδαίμονʼ ἔχοντα.",Negative,2,"Not yet, not yet, till I wrap this around me lest I be wet through. To think of my having come from home without even a cap, unlucky man!",κακοδαίμων,,
269-274,24,"ἔλθετε δῆτʼ ὦ πολυτίμητοι Νεφέλαι τῷδʼ εἰς ἐπίδειξιν· εἴτʼ ἐπʼ Ὀλύμπου κορυφαῖς ἱεραῖς χιονοβλήτοισι κάθησθε, εἴτʼ Ὠκεανοῦ πατρὸς ἐν κήποις ἱερὸν χορὸν ἵστατε Νύμφαις, εἴτʼ ἄρα Νείλου προχοαῖς ὑδάτων χρυσέαις ἀρύτεσθε πρόχοισιν, ἢ Μαιῶτιν λίμνην ἔχετʼ ἢ σκόπελον νιφόεντα Μίμαντος· ὑπακούσατε δεξάμεναι θυσίαν καὶ τοῖς ἱεροῖσι χαρεῖσαι.",Positive,1,"Come then, ye highly honoured Clouds, for a display to this man. Whether ye are sitting upon the sacred snow-covered summits of Olympus, or in the gardens of Father Ocean form a sacred dance with the Nymphs, or draw in golden pitchers the streams of the waters of the Nile, or inhabit the Maeotic lake, or the snowy rock of Mimas, hearken to our prayer, and receive the sacrifice, and be propitious to the sacred rites.",πολυτίμητος,,
293-295,25,"καὶ σέβομαί γʼ ὦ πολυτίμητοι καὶ βούλομαι ἀνταποπαρδεῖν πρὸς τὰς βροντάς· οὕτως αὐτὰς τετρεμαίνω καὶ πεφόβημαι· κεἰ θέμις ἐστίν, νυνί γʼ ἤδη, κεἰ μὴ θέμις ἐστί, χεσείω.",Mixed,1,"I too worship you, O ye highly honoured, and am inclined to reply to the thundering, so much do I tremble at them and am alarmed. And whether it be lawful, or be not lawful, I have a desire just now to ease myself.",,ἀποπέρδομαι,Verb: ἀποπέρδομαι (to break wind)
296-298,26,"οὐ μὴ σκώψει μηδὲ ποιήσεις ἅπερ οἱ τρυγοδαίμονες οὗτοι, ἀλλʼ εὐφήμει· μέγα γάρ τι θεῶν κινεῖται σμῆνος ἀοιδαῖς.",Mixed,0,"Don't scoff, nor do what these poor-devil-poets do, but use words of good omen, for a great swarm of goddesses is in motion with their songs.",,,
314-315,27,"πρὸς τοῦ Διὸς ἀντιβολῶ σε φράσον, τίνες εἴσʼ ὦ Σώκρατες αὗται αἱ φθεγξάμεναι τοῦτο τὸ σεμνόν; μῶν ἡρῷναί τινές εἰσιν;",Negative,0,"Tell me, O Socrates, I beseech you, by Jupiter, who are these that have uttered this grand song? Are they some heroines?",,,
316-318,28,ἥκιστʼ ἀλλʼ οὐράνιαι Νεφέλαι μεγάλαι θεαὶ ἀνδράσιν ἀργοῖς· αἵπερ γνώμην καὶ διάλεξιν καὶ νοῦν ἡμῖν παρέχουσιν καὶ τερατείαν καὶ περίλεξιν καὶ κροῦσιν καὶ κατάληψιν.,Positive,1,"By no means; but heavenly Clouds, great divinities to idle men; who supply us with thought and argument, and intelligence and humbug, and circumlocution, and ability to hoax, and comprehension.",,,
319-322,29,"ταῦτʼ ἄρʼ ἀκούσασʼ αὐτῶν τὸ φθέγμʼ ἡ ψυχή μου πεπότηται, καὶ λεπτολογεῖν ἤδη ζητεῖ καὶ περὶ καπνοῦ στενολεσχεῖν, καὶ γνωμιδίῳ γνώμην νύξασʼ ἑτέρῳ λόγῳ ἀντιλογῆσαι· ὥστʼ εἴ πως ἔστιν ἰδεῖν αὐτὰς ἤδη φανερῶς ἐπιθυμῶ.",Positive,0,"On this account therefore my soul, having heard their voice, flutters, and already seeks to discourse subtilely, and to quibble about smoke, and having pricked a maxim with a little notion, to refute the opposite argument. So that now I eagerly desire, if by any means it be possible, to see them palpably.",,,
331-334,30,"οὐ γὰρ μὰ Δίʼ οἶσθʼ ὁτιὴ πλείστους αὗται βόσκουσι σοφιστάς, Θουριομάντεις ἰατροτέχνας σφραγιδονυχαργοκομήτας, κυκλίων τε χορῶν ᾀσματοκάμπτας ἄνδρας μετεωροφένακας, οὐδὲν δρῶντας βόσκουσʼ ἀργούς, ὅτι ταύτας μουσοποιοῦσιν.",Positive,1,"For you do not know, by Jupiter! that these feed very many sophists, Thurian soothsayers, practisers of medicine, lazy-long-haired-onyx-ring-wearers, song-twisters for the cyclic dances, and meteorological quacks. They feed idle people who do nothing, because such men celebrate them in verse.",,,
335-339,31,"ταῦτʼ ἄρʼ ἐποίουν ὑγρᾶν Νεφελᾶν στρεπταιγλᾶν δάιον ὁρμάν, πλοκάμους θʼ ἑκατογκεφάλα Τυφῶ πρημαινούσας τε θυέλλας, εἶτʼ ἀερίας διεράς, γαμψοὺς οἰωνοὺς ἀερονηχεῖς, ὄμβρους θʼ ὑδάτων δροσερᾶν Νεφελᾶν· εἶτʼ ἀντʼ αὐτῶν κατέπινον κεστρᾶν τεμάχη μεγαλᾶν ἀγαθᾶν κρέα τʼ ὀρνίθεια κιχηλᾶν.",Neutral,0,"For this reason, then, they introduced into their verses “the dreadful impetuosity of the moist, whirling-bright clouds”; and the “curls of hundred-headed Typho”; and the “hard-blowing tempests”; and then “aerial, moist”; “crooked-clawed birds, floating in air” and “the showers of rain from dewy Clouds.” And then, in return for these, they swallow “slices of great, fine mullets, and bird's-flesh of thrushes.”",,,
341-342,32,"λέξον δή μοι, τί παθοῦσαι, εἴπερ νεφέλαι γʼ εἰσὶν ἀληθῶς, θνηταῖς εἴξασι γυναιξίν; οὐ γὰρ ἐκεῖναί γʼ εἰσὶ τοιαῦται.",Neutral,0,"Tell me, pray, if they are really clouds, what ails them, that they resemble mortal women? For they are not such.",,,
344,33,"οὐκ οἶδα σαφῶς· εἴξασιν γοῦν ἐρίοισιν πεπταμένοισιν, κοὐχὶ γυναιξὶν μὰ Δίʼ οὐδʼ ὁτιοῦν· αὗται δὲ ῥῖνας ἔχουσιν.",Neutral,0,"I do not clearly know: at any rate they resemble spread-out fleeces, and not women, by Jupiter! Not a bit; for these have noses.",,,
349-351,34,"γίγνονται πάνθʼ ὅ τι βούλονται· κᾆτʼ ἢν μὲν ἴδωσι κομήτην ἄγριόν τινα τῶν λασίων τούτων, οἷόνπερ τὸν Ξενοφάντου, σκώπτουσαι τὴν μανίαν αὐτοῦ κενταύροις ᾔκασαν αὑτάς.",Neutral,0,"They become all things, whatever they please. And then if they see a person with long hair, a wild one of these hairy fellows, like the son of Xenophantes, in derision of his folly, they liken themselves to centaurs.",,,
353-354,35,"ταῦτʼ ἄρα ταῦτα Κλεώνυμον αὗται τὸν ῥίψασπιν χθὲς ἰδοῦσαι, ὅτι δειλότατον τοῦτον ἑώρων, ἔλαφοι διὰ τοῦτʼ ἐγένοντο.",Negative,1,"For this reason, then, for this reason, when they yesterday saw Cleonymus the recreant, on this account they became stags, because they saw this most cowardly fellow.","ῥίψασπις, δειλός",,
369-371,36,"αὗται δήπου· μεγάλοις δέ σʼ ἐγὼ σημείοις αὐτὸ διδάξω. φέρε ποῦ γὰρ πώποτʼ ἄνευ Νεφελῶν ὕοντʼ ἤδη τεθέασαι; καίτοι χρῆν αἰθρίας ὕειν αὐτόν, ταύτας δʼ ἀποδημεῖν.",Neutral,1,"These to be sure. I will teach you it by powerful evidence. Come, where have you ever seen him raining at any time without Clouds? And yet he ought to rain in fine weather, and these be absent.",,,
372-374,37,νὴ τὸν Ἀπόλλω τοῦτό γέ τοι δὴ τῷ νῦν λόγῳ εὖ προσέφυσας· καίτοι πρότερον τὸν Δίʼ ἀληθῶς ᾤμην διὰ κοσκίνου οὐρεῖν. ἀλλʼ ὅστις ὁ βροντῶν ἐστι φράσον· τοῦτό με ποιεῖ τετρεμαίνειν.,Negative,0,"By Apollo, of a truth you have rightly confirmed this by your present argument. And yet, before this, I really thought that Jupiter caused the rain. But tell me who is it that thunders. This makes me tremble.",,,
376-378,38,"ὅταν ἐμπλησθῶσʼ ὕδατος πολλοῦ κἀναγκασθῶσι φέρεσθαι, κατακρημνάμεναι πλήρεις ὄμβρου διʼ ἀνάγκην, εἶτα βαρεῖαι εἰς ἀλλήλας ἐμπίπτουσαι ῥήγνυνται καὶ παταγοῦσιν.",Neutral,1,"When they are full of much water, and are compelled to be borne along, being necessarily precipitated when full of rain, then they fall heavily upon each other and burst and clap.",,,
381-382,39,"Δῖνος; τουτί μʼ ἐλελήθειν, ὁ Ζεὺς οὐκ ὤν, ἀλλʼ ἀντʼ αὐτοῦ Δῖνος νυνὶ βασιλεύων. ἀτὰρ οὐδέν πω περὶ τοῦ πατάγου καὶ τῆς βροντῆς μʼ ἐδίδαξας.",Neutral,1,"Vortex? It had escaped my notice that Jupiter did not exist, and that Vortex now reigned in his stead. But you have taught me nothing as yet concerning the clap and the thunder.",,,
383-384,40,οὐκ ἤκουσάς μου τὰς Νεφέλας ὕδατος μεστὰς ὅτι φημὶ ἐμπιπτούσας εἰς ἀλλήλας παταγεῖν διὰ τὴν πυκνότητα;,Neutral,1,"Have you not heard me, that I said that the Clouds, when full of moisture, dash against each other and clap by reason of their density?",,,
386-387,41,"ἀπὸ σαυτοῦ ʼγώ σε διδάξω. ἤδη ζωμοῦ Παναθηναίοις ἐμπλησθεὶς εἶτʼ ἐταράχθης τὴν γαστέρα, καὶ κλόνος ἐξαίφνης αὐτὴν διεκορκορύγησεν;",Negative,1,"I'll teach you from your own case. Were you ever, after being stuffed with broth at the Panathenaic festival, then disturbed in your belly, and did a tumult suddenly rumble through it?",,,
388-391,42,"νὴ τὸν Ἀπόλλω καὶ δεινὰ ποιεῖ γʼ εὐθύς μοι, καὶ τετάρακται χὤσπερ βροντὴ τὸ ζωμίδιον παταγεῖ καὶ δεινὰ κέκραγεν· ἀτρέμας πρῶτον παππὰξ παππάξ, κἄπειτʼ ἐπάγει παπαπαππάξ, χὤταν χέζω, κομιδῇ βροντᾷ παπαπαππὰξ ὥσπερ ἐκεῖναι.",Negative,1,"Yes, by Apollo! And immediately the little broth plays the mischief with me, and is disturbed and rumbles like thunder, and grumbles dreadfully: at first gently pappax, pappax; and then it adds papa-pappax; and finally, it thunders downright papapappax, as they do.",,παπαπαππάξ,"παπαπαππάξ is an onomatopoeia to illustrate the sound of a fart, not a real word"
392-393,43,σκέψαι τοίνυν ἀπὸ γαστριδίου τυννουτουὶ οἷα πέπορδας· τὸν δʼ Ἀέρα τόνδʼ ὄντʼ ἀπέραντον πῶς οὐκ εἰκὸς μέγα βροντᾶν;,Neutral,1,"Consider, therefore, how you have trumpeted from a little belly so small; and how is it not probable that this air, being boundless, should thunder so loudly?",,πέρδομαι,Verb: πέρδομαι (break wind).
394-397,44,"ταῦτʼ ἄρα καὶ τὠνόματʼ ἀλλήλοιν βροντὴ καὶ πορδὴ ὁμοίω. ἀλλʼ ὁ κεραυνὸς πόθεν αὖ φέρεται λάμπων πυρί, τοῦτο δίδαξον, καὶ καταφρύγει βάλλων ἡμᾶς, τοὺς δὲ ζῶντας περιφλύει; τοῦτον γὰρ δὴ φανερῶς ὁ Ζεὺς ἵησʼ ἐπὶ τοὺς ἐπιόρκους.",Neutral,1,"For this reason, therefore, the two names also Trump and Thunder, are similar to each other. But teach me this, whence comes the thunderbolt blazing with fire, and burns us to ashes when it smites us, and singes those who survive. For indeed Jupiter evidently hurls this at the perjured.",,πορδή,
404-407,45,"ὅταν ἐς ταύτας ἄνεμος ξηρὸς μετεωρισθεὶς κατακλῃσθῇ, ἔνδοθεν αὐτὰς ὥσπερ κύστιν φυσᾷ, κἄπειθʼ ὑπʼ ἀνάγκης ῥήξας αὐτὰς ἔξω φέρεται σοβαρὸς διὰ τὴν πυκνότητα, ὑπὸ τοῦ ῥοίβδου καὶ τῆς ῥύμης αὐτὸς ἑαυτὸν κατακάων.",Neutral,1,"When a dry wind, having been raised aloft, is inclosed in these Clouds, it inflates them within, like a bladder; and then, of necessity, having burst them, it rushes out with vehemence by reason of its density, setting fire to itself through its rushing and impetuosity.",,,
408-411,46,"νὴ Δίʼ ἐγὼ γοῦν ἀτεχνῶς ἔπαθον τουτί ποτε Διασίοισιν ὀπτῶν γαστέρα τοῖς συγγενέσιν, κᾆτʼ οὐκ ἔσχων ἀμελήσας· ἡ δʼ ἄρʼ ἐφυσᾶτʼ, εἶτʼ ἐξαίφνης διαλακήσασα πρὸς αὐτὼ τὠφθαλμώ μου προσετίλησεν καὶ κατέκαυσεν τὸ πρόσωπον.",Negative,1,"By Jupiter, of a truth I once experienced this exactly at the Diasian festival! I was roasting a haggis for my kinsfolk, and through neglect I did not cut it open; but it became inflated and then suddenly bursting, befouled my eyes and burned my face.",προστιλάω,προστιλάω,Verb: προστιλάω (befoul with dung)
420-422,47,"ἀλλʼ οὕνεκά γε ψυχῆς στερρᾶς δυσκολοκοίτου τε μερίμνης καὶ φειδωλοῦ καὶ τρυσιβίου γαστρὸς καὶ θυμβρεπιδείπνου, ἀμέλει θαρρῶν οὕνεκα τούτων ἐπιχαλκεύειν παρέχοιμʼ ἄν.",Positive,1,"As far as regards a sturdy spirit, and care that makes one's bed uneasy, and a frugal spirit and hard-living and savory-eating belly, be of good courage and don't trouble yourself; I would offer myself to hammer on, for that matter.",,,
423-424,48,"ἄλλο τι δῆτʼ οὖν νομιεῖς ἤδη θεὸν οὐδένα πλὴν ἅπερ ἡμεῖς, τὸ Χάος τουτὶ καὶ τὰς Νεφέλας καὶ τὴν γλῶτταν, τρία ταυτί;",Neutral,0,"Will you not, pray, now believe in no god, except what we believe in--this Chaos, and the Clouds, and the Tongue--these three?",,,
425-426,49,"οὐδʼ ἂν διαλεχθείην γʼ ἀτεχνῶς τοῖς ἄλλοις οὐδʼ ἂν ἀπαντῶν· οὐδʼ ἂν θύσαιμʼ, οὐδʼ ἂν σπείσαιμʼ, οὐδʼ ἐπιθείην λιβανωτόν.",Neutral,1,"Absolutely I would not even converse with the others, not even if I met them; nor would I sacrifice to them, nor make libations, nor offer frankincense.",,,
427-428,50,"λέγε νυν ἡμῖν ὅ τι σοι δρῶμεν θαρρῶν, ὡς οὐκ ἀτυχήσεις ἡμᾶς τιμῶν καὶ θαυμάζων καὶ ζητῶν δεξιὸς εἶναι.",Positive,0,"Tell us then boldly, what we must do for you? For you shall not fail in getting it, if you honour and admire us, and seek to become clever.",,,
429-430,51,"ὦ δέσποιναι δέομαι τοίνυν ὑμῶν τουτὶ πάνυ μικρόν, τῶν Ἑλλήνων εἶναί με λέγειν ἑκατὸν σταδίοισιν ἄριστον.",Positive,0,"O mistresses, I request of you then this very small favour, that I be the best of the Greeks in speaking by a hundred stadia.",,,
431-432,52,ἀλλʼ ἔσται σοι τοῦτο παρʼ ἡμῶν· ὥστε τὸ λοιπόν γʼ ἀπὸ τουδὶ ἐν τῷ δήμῳ γνώμας οὐδεὶς νικήσει πλείονας ἢ σύ.,Neutral,0,"Well, you shall have this from us, so that hence-forward from this time no one shall get more opinions passed in the public assemblies than you.",,,
433-434,53,"μὴ ʼμοί γε λέγειν γνώμας μεγάλας· οὐ γὰρ τούτων ἐπιθυμῶ, ἀλλʼ ὅσʼ ἐμαυτῷ στρεψοδικῆσαι καὶ τοὺς χρήστας διολισθεῖν.",Neutral,1,"Grant me not to deliver important opinions; for I do not desire these, but only to pervert the right for my own advantage, and to evade my creditors.",,,
457-461,54,λῆμα μὲν πάρεστι τῷδέ γʼ οὐκ ἄτολμον ἀλλʼ ἕτοιμον. ἴσθι δʼ ὡς ταῦτα μαθὼν παρʼ ἐμοῦ κλέος οὐρανόμηκες ἐν βροτοῖσιν ἕξεις.,Positive,0,"This man has a spirit not void of courage, but prompt. Know, that if you learn these matters from me, you will possess among mortals a glory as high as heaven.",οὐρανομήκης,,
468-475,55,"ὥστε γέ σου πολλοὺς ἐπὶ ταῖσι θύραις ἀεὶ καθῆσθαι, βουλομένους ἀνακοινοῦσθαί τε καὶ ἐς λόγον ἐλθεῖν πράγματα κἀντιγραφὰς πολλῶν ταλάντων, ἄξια σῇ φρενὶ συμβουλευσομένους μετὰ σοῦ.",Positive,1,"Yea, so that many be always seated at your gates, wishing to communicate with you and come to a conference with you, to consult with you as to actions and affidavits of many talents, as is worthy of your abilities.",,,
476-477,56,"ἀλλʼ ἐγχείρει τὸν πρεσβύτην ὅ τι περ μέλλεις προδιδάσκειν, καὶ διακίνει τὸν νοῦν αὐτοῦ καὶ τῆς γνώμης ἀποπειρῶ.",Neutral,0,"But attempt to teach the old man by degrees whatever you purpose, and scrutinize his intellect, and make trial of his mind.",,,
478-480,57,"ἄγε δὴ κάτειπέ μοι σὺ τὸν σαυτοῦ τρόπον, ἵνʼ αὐτὸν εἰδὼς ὅστις ἐστὶ μηχανὰς ἤδη ʼπὶ τούτοις πρὸς σὲ καινὰς προσφέρω.",Neutral,0,"Come now, tell me your own turn of mind; in order that, when I know of what sort it is, I may now, after this, apply to you new engines.",,,
483-485,58,"δύο τρόπω νὴ τὸν Δία· ἢν μὲν γὰρ ὀφείληταί τί μοι, μνήμων πάνυ· ἐὰν δʼ ὀφείλω, σχέτλιος, ἐπιλήσμων πάνυ.",Neutral,1,"In two ways, by Jove! If anything be owing to me, I have a very good memory; but if I owe unhappy man, I am very forgetful.",,,
