Citation,Sentence number,Segment,Sentiment class,Translation,Relevant Lexicon,Comments
Ad M. Caes i.3.4,19,"amorem ego illum intellego fortuitum et liberum et nullis causis servientem , impetu potius quam ratione conceptum , qui non officiis , uti lignis , sed sponte ortis vaporibus caleat .",Positive,"by love I understand such as is fortuitous and free and subject to no cause, conceived by impulse rather than by reason, that needs no services, as a fire logs, for its kindling, but glows with self-engendered heat.",fortuitum et liberum,
Ad M. Caes i.3.4,20,"Baiarum ego calidos specus malo quam istas fornaculas balnearum , in quibus ignis cum sumptu atque fumo accenditur brevique extinguitur .",Negative,"To me the steaming grottoes of Baiae are better than your bath-furnaces, in which the fire is kindled with cost and smoke, and anon goes out.",,showing the negative qualities of the bathhouses in comparison
Ad M. Caes i.3.4,21,"At illi ingenui vapores puri perpetuique sunt , grati pariter et gratuiti . Ad eundem prorsus modum amicitiae istae officiis calentes fumum interdum et lacrimas habent :",Mixed,"But the natural heat of the former is at once pure and perpetual, as grateful as it is gratuitous. Just in the same way your rational friendship, kept alight with services, not unfrequently means smoke and watery eyes:","puri, perpetuique","first part = description of positive aspects of hot springs, last is negative description of artificially maintained friendships"
Ad M. Caes i.3.4,22,ubi primum cessaveris extinguuntur : amor autem fortuitus et iugis est et iucundus . ,Mixed,relax your efforts for an instant and out they go: but love fortuitous is eternal and enchanting.,,"negative on the efforts for artificial friendship, positive for love fortuitous"
Ad M. Caes i.3.5,23,"Quid , quod neque adolescit proinde nec corroboratur amicitia meritis parta ut ille amor subitus et repentinus ?",Mixed,"Again, friendship that is won by desert has no such growth or firm texture as the love that is sudden and at first sight.",,"same as previous sentence, first part negative next positive"
Ad M. Caes i.3.5,24,"Ut non aeque adolescunt in pomariis hortulisque arbusculae manu cultae rigataeque ut ille in montibus aesculus et abies et alnus et cedrus et piceae , quae sponte natae , sine ratione ac sine ordine sitae , nullis cultorum laboribus neque officiis sed ventis atque imbribus educantur .",Neutral,"So in orchards and gardens the growth of shrubs, reared and watered by hand, is not like that of the oak and the fir and the alder and the cedar and the pine on their native hills which, springing up self-sown and set without plan and without order, owe nothing to the toil or services of a planter, but are fostered by the wind and the rain.",,
Ad M. Caes i.3.5,25,"Tuus igitur iste amor incultus et sine ratione exortus , spero , cum cedris porro adolescet et aesculis :",Positive,"That love of yours, therefore, unplanted and sprung up without reason, will, I trust, grow steadily on with the cedars and the oaks;",,
Ad M. Caes i.3.5,26,"qui si officiorum ratione coleretur , non ultra myrtos laurusque procresceret , quibus satis odoris , parum roboris . Et omnino quantum fortuna rationi , tantum amor fortuitus officioso amori antistat .",Positive,"whereas if it were cherished by reason of services done, it would not outgrow the myrtles and the bays, which have scent enough but too little strength. In a word, love spontaneous is as superior to love earned by service as fortune is to reason.",,
Ad M. Caes ii.2.1,27,"Manus do , vicisti : tu plane omnes , qui umquam amatores fuerunt , vicisti amando .",Positive,"I give in, you have won: beyond question you have conquered in loving all lovers that have ever lived.",,
Ad M. Caes ii.2.1,28,"Cape coronam : atque etiam praeco pronuntiet palam pro tuo tribunali victoriam istam tuam .  At ego , quamquam superatus , tamen nihil de mea prothymia decessero aut defecero .",Positive,"Take the wreath and let the herald, too, proclaim in the ears of all before your tribunal this your victory. Yet, though vanquished, will I not falter or fail in my devotion.",,
Ad M. Caes ii.2.1,29,"Igitur tu quidem me , mi magister , magis amabis quam ullus hominum ullum hominem amat ; ego vero te , qui minorem vim in amando possideo , magis amabo quam ullus hominum te amat , magis denique , quam tu temet ipsum amas .",Positive,"Therefore shall you indeed, my master, love me more than any of men loves any man, while I, who have less energy in loving, will love you more than anyone else loves you, more, in fact, than you love yourself.",,
Ad M. Caes ii.2.1,30,"Iam mihi cum Gratia certamen erit , quam timeo ut superare possim . Nam illius quidem , ut Plautus ait , amoris imber grandibus guttis non vestem modo permanavit , sed in medullam ultro pluit .",Positive,"I see I shall have a competitor in Gratia, and I fear that I may not be able to surpass her. For, as Plautus Says, in her case, “not only has the rain of love drenched her dress with its thunder-drops, but soaked into her very marrow.”",,"he's lowering his own position by raising someone else's. despite using ""i fear"" its positive since his tone for the whole letter is lighthearted"
Ad M. Caes v.18,31,"Domino meo . Gravissimo dolore inguinis sum arreptus , quo omnis dolor a dorso et lumbis incubuit .",Negative,"To my Lord, I have been seized with very severe pain in the groin. All the pain from the back and loins has concentrated itself there.",,
