Citation,Sentence number,Segment,Sentiment class,Translation,Relevant Lexicon,Comments
,11,O me beatum ! ore tuo me dis commendatum ! Putasne ullus dolor penetrare sciat corpus aut animum meum prae tanto gaudio ?,Positive,"O, happy that I am! commended by your lips to the gods! Can any pain, think you, find its way into body or mind of mine to count against delight so great?",,
,12,"Proced . . . babae ! Neque doleo iam quicquam nec aegre fero : vigeo , valeo , exulto :",Positive,"... hurrah! No longer do I feel any pain, nor any distress: I am whole, I am well, I leap for joy;",,
,13,"quo vis , veniam ; quo vis , curram . Crede istud mihi , tanta me laetitia perfusum , ut rescribere tibi ilico non potuerim ;",Positive,"whither you wish, I will come; whither you wish, I will run. Believe me when I say that I was so steeped in delight as not to be able to answer your letter at once;",,
,14,"sed eas quidem litteras , quas ad priorem epistulam tuam iam rescripseram , dimisi ad te :",Neutral,"but the letter, indeed, which I had already written in answer to your previous one, I have sent off to you.",,
,15,"sequentem autem tabellarium retinui , quo ex gaudio resipiscerem . Ecce nox praeteriit , dies hic est alter , qui iam prope exactus est , necdum quid aut quemadmodum tibi rescribam reperio .",Neutral,"However, I have kept back the second messenger that I might recover from my joy. And lo, the night has passed, a second day is already here which is already almost spent, and still what and how to write back to you I find not.",,he conveys his anxiety at not knowing what to write -> negative
,16,"Quid enim ego possim iucundius , quid blandius , quid amantius , quam tu scripsisti mihi proponere ?",Positive,"For what professions of mine could be more sweetly, what more winningly, what more lovingly expressed than yours for me? ",,"he confesses he feels inadequate in loving compared to Aurelius. if you take it with the sentence before it feels still anxious, but alone it feels positive as he's praising Aurelius' love"
,17,"Unde gaudeo quod ingratum me et referundae gratiae imparem facias , quoniam , ut res est , ita me diligis ut ego te magis amare vix possim .",Positive,"And so I rejoice that you make me ungrateful and put a due requital beyond my powers, since, as the matter stands, your affection for me is so great that I can scarcely exceed your love.",gaudeo,
Ad M. Caes i.3.4,18,At ego nihil quidem malo quam amoris erga me tui nullam extare rationem . Nec omnino mihi amor videtur qui ratione oritur et iustis certisque de causis copulatur :,Positive,And yet there is nothing I like better than that there should be no reason for your love of me. For that seems to me no love at all which springs from reason and depends on actual and definite causes:,,
,19,"amorem ego illum intellego fortuitum et liberum et nullis causis servientem , impetu potius quam ratione conceptum , qui non officiis , uti lignis , sed sponte ortis vaporibus caleat .",Positive,"by love I understand such as is fortuitous and free and subject to no cause, conceived by impulse rather than by reason, that needs no services, as a fire logs, for its kindling, but glows with self-engendered heat.",fortuitum et liberum,
,20,"Baiarum ego calidos specus malo quam istas fornaculas balnearum , in quibus ignis cum sumptu atque fumo accenditur brevique extinguitur .",Negative,"To me the steaming grottoes of Baiae are better than your bath-furnaces, in which the fire is kindled with cost and smoke, and anon goes out.",,showing the negative qualities of the bathhouses in comparison
,21,"At illi ingenui vapores puri perpetuique sunt , grati pariter et gratuiti . Ad eundem prorsus modum amicitiae istae officiis calentes fumum interdum et lacrimas habent :",Mixed,"But the natural heat of the former is at once pure and perpetual, as grateful as it is gratuitous. Just in the same way your rational friendship, kept alight with services, not unfrequently means smoke and watery eyes:","puri, perpetuique","first part = description of positive aspects of hot springs, last is negative description of artificially maintained friendships"
,22,ubi primum cessaveris extinguuntur : amor autem fortuitus et iugis est et iucundus . ,Mixed,relax your efforts for an instant and out they go: but love fortuitous is eternal and enchanting.,,"negative on the efforts for artificial friendship, positive for love fortuitous"
Ad M. Caes i.3.5,23,"Quid , quod neque adolescit proinde nec corroboratur amicitia meritis parta ut ille amor subitus et repentinus ?",Mixed,"Again, friendship that is won by desert has no such growth or firm texture as the love that is sudden and at first sight.",,"same as previous sentence, first part negative next positive"
,24,"Ut non aeque adolescunt in pomariis hortulisque arbusculae manu cultae rigataeque ut ille in montibus aesculus et abies et alnus et cedrus et piceae , quae sponte natae , sine ratione ac sine ordine sitae , nullis cultorum laboribus neque officiis sed ventis atque imbribus educantur .",Neutral,"So in orchards and gardens the growth of shrubs, reared and watered by hand, is not like that of the oak and the fir and the alder and the cedar and the pine on their native hills which, springing up self-sown and set without plan and without order, owe nothing to the toil or services of a planter, but are fostered by the wind and the rain.",,
Ad M. Caes i.3.6,25,"Tuus igitur iste amor incultus et sine ratione exortus , spero , cum cedris porro adolescet et aesculis :",Positive,"That love of yours, therefore, unplanted and sprung up without reason, will, I trust, grow steadily on with the cedars and the oaks;",,
,26,"qui si officiorum ratione coleretur , non ultra myrtos laurusque procresceret , quibus satis odoris , parum roboris . Et omnino quantum fortuna rationi , tantum amor fortuitus officioso amori antistat .",Positive,"whereas if it were cherished by reason of services done, it would not outgrow the myrtles and the bays, which have scent enough but too little strength. In a word, love spontaneous is as superior to love earned by service as fortune is to reason.",,
Ad M. Caes ii.2.1,27,"Manus do , vicisti : tu plane omnes , qui umquam amatores fuerunt , vicisti amando .",Positive,"I give in, you have won: beyond question you have conquered in loving all lovers that have ever lived.",,
,28,"Cape coronam : atque etiam praeco pronuntiet palam pro tuo tribunali victoriam istam tuam .  At ego , quamquam superatus , tamen nihil de mea prothymia decessero aut defecero .",Positive,"Take the wreath and let the herald, too, proclaim in the ears of all before your tribunal this your victory. Yet, though vanquished, will I not falter or fail in my devotion.",,
,29,"Igitur tu quidem me , mi magister , magis amabis quam ullus hominum ullum hominem amat ; ego vero te , qui minorem vim in amando possideo , magis amabo quam ullus hominum te amat , magis denique , quam tu temet ipsum amas .",Positive,"Therefore shall you indeed, my master, love me more than any of men loves any man, while I, who have less energy in loving, will love you more than anyone else loves you, more, in fact, than you love yourself.",,
,30,"Iam mihi cum Gratia certamen erit , quam timeo ut superare possim . Nam illius quidem , ut Plautus ait , amoris imber grandibus guttis non vestem modo permanavit , sed in medullam ultro pluit .",Positive,"I see I shall have a competitor in Gratia, and I fear that I may not be able to surpass her. For, as Plautus Says, in her case, “not only has the rain of love drenched her dress with its thunder-drops, but soaked into her very marrow.”",,"he's lowering his own position by raising someone else's. despite using ""i fear"" its positive since his tone for the whole letter is lighthearted"
Ad M. Caes v.18,31,"Domino meo . Gravissimo dolore inguinis sum arreptus , quo omnis dolor a dorso et lumbis incubuit .",Negative,"To my Lord, I have been seized with very severe pain in the groin. All the pain from the back and loins has concentrated itself there.",,
adMC 2.11,32,"Postquam ad te proxime scripsi , postea nihil operae pretium fuit quod ad te scriberetur aut quod cognitum ad aliquem modum iuvaret .",,,,
,33,"Nam διὰ τῶν αὐτῶν fere dies tramisimus : idem theatrum , idem odium , idem desiderium tuum .",,,,
,34,"Quid dico idem ? immo id cotidie novatur et gliscit ; et quod ait Laberius de amore , suo modo καὶ ἐπὶ ἰδίᾳ μούσῃ ;",,,,
,35,"Amor tuus tam cito crescit quam porrus , tam firme quam palma . Hoc igitur ad desiderium verto , quod ille de amore ait .",,,,
,36,"Volo ad te plura scribere , sed nihil suppetit . Ecce quod in animum venit .",,,,
,37,"Encomiagraphos istic audiimus , Graecos scilicet sed miros mortales , ut ego , qui a Graeca litteratura tantum absum quantum a terra Graecia mons Caelius meus abest , tamen me sperem illis comparatum etiam Theopompum aequiparare posse ;",,,,
,38,"nam hunc audio apud Graecos disertissimum natum esse . Igitur paene me opicum animantem ad Graecam scripturam perpulerunt homines , ut Caecilius ait , incolumi inscientia .",,,,
,39,"Caelum Neapolitanum plane commodum , sed vehementer varium . In singulis scripulis horarum frigidius aut tepidius aut horridius fit .",,,,
,40,"Iam primum media nox tepida , Laurentina ; tum autem gallicinium frigidulum , Lanuvinum ;",,,,
,41,"iam conticinnum atque matutinum atque diluculum usque ad solis ortum gelidum , ad Algidum maxime ;",,,,
,42,"exim antemeridiem apricum , Tusculanum ; tum meridies fervida , Puteolana ; at enim ubi sol lautum ad Oceanum profectus est , fit demum caelum modestius , quod genus Tiburtinum ;",,,,
,43,"id vespera et concubia nocte , dum se intempesta nox , ut ait M .",,,,
,44,"Porcius , praecipitat , eodem modo perseverat . Sed quid ego , qui me paucula scripturum promisi , deliramenta Masuriana congero ?",,,,
,45,"Igitur vale , magister benignissime , consul amplissime , et me , quantum ames , tantum desidera .",,,,
adMc 2.6,46,"Sane , si quid Graeci veteres tale scripserunt , viderint qui sciunt ; ego , si fas est dicere , nec M . Porcium tam bene vituperantem quam tu laudasti usquam adverti . ",,,,
,47,"O si Dominus meus satis laudari posset , profecto a te satis laudatus esset !",,,,
,48,"τοῦτο τὸ ἔργον οὐ γίνεται νῦν . Facilius quis Phidian , facilius Apellen , facilius denique ipsum Demosthenem imitatus fuerit aut ipsum Catonem , quam hoc tam effectum et elaboratum opus .",,,,
,49,Nihil ego umquam cultius nihil antiquius nihil conditius nihil Latinius legi . O te hominem beatum hac eloquentia praeditum !,,,,
,50,O me hominem beatum huic magistro traditum ! O ἐπιχειρήματα ! O τάξις ! O elegantia !,,,,
,51,O lepos ! O venustas ! O verba ! O nitor ! O argutiae !,,,,
,52,"O χάριτες ! O ἄσκησις ! O omnia ! Ne valeam nisi aliqua die virga in manus tibi tradenda erat , diadema circumponendum , tribunal ponendum :",,,,
,53,"tum praeco omnes nos citaret . Quid nos dico ? Omnes , inquam , philologos et disertos istos .",,,,
,54,"Eos tu singulos virga perduceres , verbis moneres . Mihi adhuc nullus metus huius monitionis erat ;",,,,
,55,"Multa supersunt ut in ludum tuum pedem introferam . Haec cum summa festinatione ad te scribo , nam quom Domini mei ad te epistulam mitterem tam benignam , quid meis longioribus litteris opus erat ?",,,,
,56,"Igitur vale , decus eloquentiae Romanae , amicorum gloria , μέγα πρᾶγμα , homo iucundissime , consul amplissime , magister dulcissime .",,,,
,57,"Postea cavebis de me , praesertim in senatu , tam multa mentiri . Horribiliter scripsisti hanc orationem .",,,,
,58,"O si ad singula capita caput tuum basiare possem ! ἰσχυρῶς πάντων καταπεφρόνηκας . Hac oratione lecta frustra nos studemus , frustra laboramus , frustra nervos contendimus .",,,,
,59,,,,,
,60,,,,,
,61,,,,,
,62,,,,,
,63,,,,,
,64,,,,,
,65,,,,,
,66,,,,,
,67,,,,,
,68,,,,,
,69,,,,,
,70,,,,,
,71,,,,,
,72,,,,,
,73,,,,,
,74,,,,,
,75,,,,,
,76,,,,,
,77,,,,,
,78,,,,,
,79,,,,,
,80,,,,,
,81,,,,,
,82,,,,,
,83,,,,,
,84,,,,,
,85,,,,,
,86,,,,,
,87,,,,,
,88,,,,,
,89,,,,,
,90,,,,,
,91,,,,,
,92,,,,,
,93,,,,,
,94,,,,,
,95,,,,,
,96,,,,,
,97,,,,,
,98,,,,,
,99,,,,,
,100,,,,,
,101,,,,,
,102,,,,,
,103,,,,,
,104,,,,,
,105,,,,,
,106,,,,,
,107,,,,,
,108,,,,,
,109,,,,,
,110,,,,,
,111,,,,,
,112,,,,,
,113,,,,,
,114,,,,,
,115,,,,,
,116,,,,,
,117,,,,,
,118,,,,,
,119,,,,,
,120,,,,,
,121,,,,,
,122,,,,,
,123,,,,,
,124,,,,,
,125,,,,,
,126,,,,,
,127,,,,,
,128,,,,,
,129,,,,,
,130,,,,,
,131,,,,,
,132,,,,,
,133,,,,,
,134,,,,,
,135,,,,,
,136,,,,,
,137,,,,,
,138,,,,,
,139,,,,,
,140,,,,,
,141,,,,,
,142,,,,,
,143,,,,,
,144,,,,,
,145,,,,,
,146,,,,,
,147,,,,,
,148,,,,,
,149,,,,,
,150,,,,,
,151,,,,,
,152,,,,,
,153,,,,,
,154,,,,,
,155,,,,,
,156,,,,,
,157,,,,,
,158,,,,,
,159,,,,,
,160,,,,,
,161,,,,,
,162,,,,,
,163,,,,,
,164,,,,,
,165,,,,,
,166,,,,,
,167,,,,,
,168,,,,,
,169,,,,,
,170,,,,,
,171,,,,,
,172,,,,,
,173,,,,,
,174,,,,,
,175,,,,,
,176,,,,,
,177,,,,,
,178,,,,,
,179,,,,,
,180,,,,,
,181,,,,,
,182,,,,,
,183,,,,,
,184,,,,,
,185,,,,,
,186,,,,,
,187,,,,,
,188,,,,,
,189,,,,,
,190,,,,,
,191,,,,,
,192,,,,,
,193,,,,,
,194,,,,,
,195,,,,,
,196,,,,,
,197,,,,,
,198,,,,,
,199,,,,,
,200,,,,,
,201,,,,,
,202,,,,,
,203,,,,,
,204,,,,,
,205,,,,,
,206,,,,,
,207,,,,,
,208,,,,,
,209,,,,,
,210,,,,,
,211,,,,,
,212,,,,,
,213,,,,,
,214,,,,,
,215,,,,,
,216,,,,,
,217,,,,,
,218,,,,,
,219,,,,,
